twitter_user,followers
,0
BlackDogGDO3,2630
edsonsalomaosp,49596
maurofagundess,45912
diegogarciapr,7629
raulveiga,32184
BOLS4KUR4,14978
preventsenior,9525
mribeiroMEC,69082
PastorPedrao,1696
o_faka,26871
bernardokuster2,74655
Israel,649204
FatosEsquerda,53003
sebastianpinera,2495189
IvanDuque,1992905
marcorubio,4181658
avozdobrasil,159877
MinLuizRamos,204731
CmdoCMO,75883
Oficialluizlima,42805
mcolombomendes,4760
IphanGovBr,141216
matteosalvinimi,1318423
ApexBrasil,23851
coalizaosc,7759
valec_ferrovias,6049
AtalaiaBR,4094
Darth_Re,5552
RaimundoLiraPB,12103
PastorNalafaia,2489
Manato_es,5036
alberto_fraga,37990
AndreMourapsc_,7690
eduardocosta,1098631
DaniBruzarrosco,1226
SergioReis,70113
MichelleMakori,11805
DaviSacer,597142
IzalciLucas,9436
platinylopes,1479
DireitaManaus,3036
RenzoGracieBJJ,229775
andersonlfsoare,1984
KAKA,29516520
josealdojunior,946060
MaritoAbdo,562603
TomCavalcante1,4811727
CesarFilho,447039
eduribeirotv,15198
JoaoCarlllo2,14792
BrazilGovNews,44410
SenRubioPress,134808
MinCidades,115590
BrazilinUSA,12598
DelegadoFreitas,3233
IsraelMFA,251494
BrasembTokyo,7506
jrguzzofatos,274392
BrazilEmbassyUK,6559
jose_neumanne,397777
ipeaonline,142075
embaixadoryossi,2346
salimmattarBR,92300
Pinguc0_,16342
narendramodi,61029562
IsraelinBrazil,19231
brunodobem,140094
zcloficial,1953829
jorgeemateus,8831461
brunomarroneweb,665196
duplaFeS,1925190
MarcoseBelutti,1496291
CPFsCancelados,140338
domlancellotti,41368
gegegoncalves38,1220
Nayana_Pontes,7547
JoaqunTeixeira1,11560
oaquinTeixeira,51177
officialcafu,1564578
RIVALDOOFICIAL,560465
LaurinhaBonoro,51154
MARIOBRASIL38,11239
Magalhaes_CNN,1462
StephanesJr,6331
elmanoferrer,7331
mauricioptbrs,3896
JeanineAnez,335587
FSchwanke,1527
cabobebeto,558
deltapericles,775
DepCapitaoalden,1156
deputadatalita,2040
DelegadoCavalc,1486
capitaoassumcao,13812
torinomarques,162
paulotrabalho01,114
drluizovando,915
CapitaoContar,820
coronellee190,457
DelegadoMartins,119
professorjoziel,2412
depjesse,5394
silvioluiz,614602
SenadorHeinze,22990
darioberger,8355
DeputadaMariana,6751
gilsonmachadont,3797
AmazoniaAzulBR,4842
Mike_Pence,5028733
StateDept,5923561
cabogilberto,5234
ratinho_jr,54718
segueadireitabr,26304
coronelsandromg,5503
JHNdeF,3376
SouDescortes,3413
TVBrasil,241543
CesarMenotti,793652
BancoCentralBR,362457
Marceloalvaroan,33332
sgovpr,55260
PRFBrasil,200448
marciolabre,82229
EconomiaSepec,16879
bibonunes1,167769
CmdoCMA,93643
MarthaSeillier,10243
pedro_lupion,8681
CulturaGovBr,354410
brasil_IBAMA,122462
anvisa_oficial,95631
LedaNagle,289765
CNI_br,43241
ibgecomunica,169419
infraero,55584
ICMBio,20349
DepSostenes,44787
ebcnarede,75489
RomeuZema,254553
jcaleluia,20670
at_Lorenzon,17049
Tenente_Coimbra,22627
tencelzucco,13574
ItamaratyGovBr,304806
bndes,228469
padre_paulo,221064
Fabricio_Rebelo,22352
MarceloCRedeTV,140547
CmdoCMS,113013
cmse_exercito,71766
ToniettoChris,50598
roxanecarvalho,6027
inep_oficial,203736
FazendaGovBr,213931
ANTT_oficial,28933
lasiermartins,88219
DepSanderson,35752
SecPompeo,2299652
leo_bolsoneas,59840
netanyahu,1853375
DraManato,23685
sebrae,397890
benshapiro,2974172
Caixa,334366
TesouroNacional,80496
paulouebel,13808
TerraBrasilnot,2966
Mara21Castro,10188
richards_pozzer,6500
fernandoconrado,19627
Jouberth19,127052
teff_ferrari,71703
Yuusuukkee,2814
russianbotbr,12850
gustavo_ene,547
cajdacosta,3001
GeorgePapa19,505104
digooortega,2376
mfriasoficial,105295
canalCCore2,38754
OTRUMPOSO,2763
gusttavo_lima,12799569
OtoniDepFederal,115141
mitags,122376
dimacgarcia,114628
lsentoes1,62083
cabojunioamaral,86705
majorfabianadep,140582
AppelLuciano,20845
mariacaroIina_,6933
BrunoEnglerDM,31625
AlineSleutjes,42213
Luiz_Las_Casas,14849
MilitiaVirtual,107
AlanLopesRio,47004
Ivanavanab,29562
AmazonasMarcelo,763
luislacombereal,300079
ValeriaBnews,32196
aramagem,42688
oswaldojor,123570
LeticiaCatel,44902
DouglasGarcia,239687
edsonsalomaomc,89744
TeichNelson,277581
bormevet,1359
MajorMecca,8786
memefera,87968
fabiofaria5555,135461
gustavorocha,8568
AmendoncaMJSP,274300
AdvocaciaGeral,293317
fernando_g_f_,35401
Sergio_Lima_,5713
BoniOliveira7,2774
GovernaBR,28486
USAmbBR,62408
ZenCollares,6463
NaLutaPeloBR,6753
LucianaACBarros,6148
AragaoMosart,359
IsentaoCast,6091
Spacelad43,5324
LollaDJ,6222
WolfConservador,10546
sergiodireita1,193381
somosalianca,291137
codevasf,1665
hbredda,174436
BeneditoAguiar6,3553
deputadomoraes,16691
elizabe48607216,11202
RobsondoBrasil,11820
castelabranca2,2620
br104oficial,146
EmbraturNews,203545
Sophie_Trix,15396
L_Dornelles,26300
gazeta_brasil,24838
CAPES_Oficial,24150
brasil_paralelo,208424
CGUonline,240957
PiacesiRamos,5365
_GrandePonto,712
jorgeseif,11682
allantercalivre,369654
MarcosQuezado1,69310
kimpaim,170768
FelipePedri,57834
fIaviogarage,23460
KarinaKufa,58843
PriscilaDalcin,22582
SilviaMariozi,26190
minsaude,1210821
XandoSB,5094
PacoB0800,20231
EsporteGovBR,112845
DraClaudiaBr,53166
conexaopolitica,533340
mayrannealmeida,53874
carmelonetobr,120219
elizgualda,9742
OLulaEstaPreso,8454
Marceloscf2,28612
oiIuiz,74393
ClaudeLuca_,41010
onconaro,5297
JuhZanca,23997
helenaapat,3303
profcabarros,51235
adrianotomasoni,6381
Bela_e_Moral,12488
JornalBSM,272311
catafoiawins,31758
fabianomenotti,427424
FAUSTOVAPOR,9144
flavinhaprado,394
luizaffn,8700
ju_tmjbrasil,13123
EuMesmaSinara,36686
AfiadaMae,2429
Felipelourabras,13638
TenenteSantini,15899
taiguara_sousa,61320
BelinhaPoodleBR,59364
professorigor,75483
govbr,346764
majorelitusalem,3064
AlbuquerqueDavy,121118
anderson_sandes,17825
MauricioCostaRS,118454
danigkarina,8898
alesilva_38,123988
KassyDillon,153828
CNoronha,7435
silviogrimaldo,51423
DHumanosBrasil,150294
Celio_FJ,819
Oliver_talk,30770
ludmilagrilo,116643
DigitalGovBr,104951
jeffs_araujo35,21408
BoletimCoppolla,323612
Elvisfpereira,13701
RaquelStasiaki,143452
ppinvestimentos,23955
cpacbrasil,32480
agenciabrasil,156886
FabioClickTime,26486
Ju_monarquista,13805
DNIToficial,118929
fabiowoficial,75506
saritacoelho,21420
professorigor22,7167
iaragb,53488
tvbrasilgov,288753
Alanghani,50878
DefesaGovBr,594834
Minas_Energia,114435
secomvc,181740
MariaMagan1,4064
weirtrenty,6318
gen_heleno,1072027
CarlaValente_38,55290
TonyStarkMeta,30929
CarlosNadalim,66347
MEC_Comunicacao,471845
Daniel_L_Lopez,131935
mdagovbr,87952
mmeioambiente,223697
MinCidadania,175924
embrapa,47334
mdregional_br,71907
portosdobrasil,31666
Mapa_Brasil,62769
AngelBR_PRF38PF,45302
AlexAleluia,28454
MTurismo,573882
agoranoticiasbr,33363
aviacaodobrasil,46365
SGPresidencia,30282
aassibarreto,14421
ArthurWeint,545201
taoquei1,325552
reportersalles,162045
JornalDaCidadeO,154378
