twitter_user,followers
,0
CUBAONU,20657
enochfurt,1328
JosMarcosFeito4,1885
elisa_esquerda,3051
nilmariomiranda,6021
PedroKemp,2905
mairakubik,10442
DanielleSChaves,2084
GlaucoS41843642,6861
anagomyde,2359
Granma_Digital,193588
Josepauloseraf3,3779
guiskd13,2739
magaiver54,1996
SergioSantosLor,3193
iG,118335
FadaIlha,4341
rodcebrian,96145
Alargolo1,1844
leidy_als,3902
Luesquerda,3140
ZellFlorizel,15069
Malu_Medeiro,11188
aeciodepapelao,54558
BlackSocialists,125583
TVJustica,365669
RicardoLeyser,3170
serafinipsol,14718
msoares,20515
neylopesmachado,11251
Sil_Mergulhao,13010
brealt,10044
verdadenarede,577
RoqueValero,1642800
ana_mota57,2793
galas_oficial,40553
VAN65429986,5230
cidinhadeangeli,2275
jerogi,5357
salgadinhomusic,48400
colorada_gaucha,5782
flaviocostaf,8476
smithnathii,75672
foradakigado,3053
Quiteria_silva,4257
DaianeVV,4066
RobertoZezinho,1429
esquerdadavida,2028
yuridcarvalho,3590
hfernandesbio,4777
PolitiQueijo,8488
carlaayres,3965
AltinoPstu,5881
PresidenciaCuba,112908
FlaRobSal,13259
AdrianaHlobo,6357
TitaRibas86,6234
roqchams,36551
Pattidutra,1285
assisfrederico,54
BancoMundial,453283
pnud,364612
a_empoderada,2923
AbovskyAndr,3694
agatabarbosa12,1767
deyvisondouglas,3861
RogerPost3,5483
Elaneide5,2165
heliacalaca,1530
AntonioAMoura1,2449
ContraEditora,2063
blogdopannunzio,136378
LindseyBoylan,33293
akela_lacy,18850
AnandWrites,676547
leticiakawano,6332
TaschnerNatalia,36326
FredLAFernandes,13520
conradohubner,28471
RCasara,23006
SoniaBelaCiao,6375
anacorso1301,2541
arquiberlula13,3308
joaodogoias,4291
mateusfgoias,6849
EstevamReboucas,7707
GutsEsquerda,9976
juliarochasim,30753
AnaErikaOlivei1,7695
dululadasilva,6626
VeraLuladaSilva,5624
VeroCavalcante,6840
manso_tatiana,9357
red_pessimist,8409
CocReality,2775
JanainaMeloo,19244
GenilseLucas,10223
NeloSohn,13405
Ma1Ferreira,12446
MarlonANTIFA,29755
oicram2016,9918
DaysePirralha,14446
zzairasantos,9269
EDIRCARVALHOMO3,9965
GauchaGremist4,3032
frulanis,26025
factchecknet,27654
FNPrefeitos,3422
crisotobias,1315
caroltypes,7604
MiltonBituca,17308
IamMzilikazi,419671
fightfor15,60062
majorityfm,94851
camanpour,3013970
edsonsantosrio,1446
eristonmattos,9490
Liomara_Amaral,9185
belagil,46212
fdesouzaalves,3801
iaraujo21_,10017
polyana2009,1193
ameliedalua,4472
tainadepaularj,5322
AnglicaLessaRo1,4149
francis30376037,5066
Dirleu_Koerner,6517
vanyhernandes,6550
vitoria11set,4756
Ale_Trinidad,6551
carlosbonancea,4993
ever_lula,6447
nalu_nas,8649
CssiaRoberta5,9343
Fique_EmCasa,6740
Valmird81069512,5131
leite42,4629
PenelopeResist,5796
BRYNNER_01,4693
VoltaPT13,6270
selmamathiass,9378
silvia_rubin,7791
NivinhaFla,50611
c_arreguy,13293
luizpaulor,26925
ivonesilva,682
Juvandia,888
LarissaSilva18,192
cidadaoprimata,16689
sacha_faria,3511
LeaderHoyer,130522
SamuelSilvaFB,33582
ABRASCO,19411
idec,42028
Sietecase,400877
sdamascenosilva,3259
elcancillercom,86554
rollingstoneBR,719690
camaraptsp,4780
radioconvos899,121075
arte_prima,14496
DerMutteraller,1200
matajoba2010,2417
ElianePed3,3765
ctonon2,6566
ezequias123123,4696
LairaGVieira,11157
luizccsouza,6568
SindipetroBahia,953
deyvidbacelar,1328
tadeuporto,1535
nelsinhosantos,570
TheLancet,571035
CFOAB,145783
drauziovarella,399834
butantanoficial,25780
FINC0,3750
RimaDonda,2181
GuiPt13,5761
RobertAntonyL,3752
Carlos_GarridoF,4281
JptSaoPaulo,70
PetralhaJosi,302
difusoramossoro,2150
kellymatos,130267
ArgentinaEnBras,1899
RdGaucha,536622
Taniamariadf,326
AlineQ12,10468
mel3flores,5632
cgtnamerica,290360
vivimendes_sp,5989
UNEafroBrasil,5708
paulobetti3,7791
cinefilo_K,50168
caomilali,3543
coalizaonegra,12551
renatosimoespt,4238
foaesp,325
radiobandnewsfm,1480719
waldenorpereira,4649
joseildoramos,4111
iago_montalvao,5689
Pragmatismo_,50198
PauloNassar,1692
KellVila,56281
gavioesoficial,362814
annavirginia,21509
priscilakmattos,12802
atailon,10355
TheLucasLange,10364
LauraCampani13,2124
BelaMegale,21047
SalvinoOliveir1,1415
galodeluta,38932
Avanci1983,3943
MrsC_Assange,31714
JPdeOliveira,27651
gabiaraujop,165
fabianotrico,384
netflix,8688136
mnfernandez,3577
rafmaracaja,5679
SilRePlp,8425
CriciellePT,1179
Leonardo_Grosso,47744
mphistoria,30120
ConJur_Oficial,222733
phvmartinez,1921
GrupoPrerro,308
vinizimmermann,664
mrnvlnt,5844
itsIuciano,10516
neli_pereira,13797
britocruz_,2541
ChirleyPankara,5409
UrbanNathalia,9257
kbatthyany,3224
eduardofvaldes,19342
fernandapsol,101667
fernandapsol,101668
BrigitteSCollet,2147
lgbtdopt13,124
ChrisinhaR,7187
FinesProjeto,4650
estevaoribeiro,3675
alamoju,14717
Jollyxx,15441
transboylife_,13851
temperodrag,21579
AnaAgroecologia,718
VCamponesa,47
mpa_campesinato,937
roberta_bastoss,24353
iyasandrali,724
LeviKaique,80734
julianaborges_1,3561
MBU_Doralyce,5602
QuebradaPod,1724
IgorDrumond,1079
idmj_racial,778
CGuedes1906,3459
alencarjp1,164
walternunes,2104
alexandrecct,14671
DanielMaiaMello,6005
reumalho,76790
ninatuitabrasil,3330
krisksilvano,8998
DougAssis3,3955
anaflaviahist,4874
simas_luiz,74891
alcysio,9250
Reserva1313,10040
EsquerdaPT13,14965
guedesvaler_mo,7016
JoseOliveiraRo5,10119
Tramontina19,7541
LoteMarcio,8880
joaogeocanhoto,5510
Alcino2010,12077
Contraf_CUT,1373
marciobjardim,5918
tacianabarros8,721
FreeLulaUK,1134
IlonaSzaboC,44754
DirceuMemorias,9604
thiamparo,56750
macsanto787,5883
patysrovari,10049
Fercarlula,7039
EiHenderson,8320
LulaDilma5,14088
JuhBatist13,9810
Laurentino68,9760
CelliaMarquess,2600
Fabi2022H,2745
aleestefan,14253
JoaoCarlos2010,4498
MancioCarla,3234
GilCarlosTex,9095
gilleite9,3149
soghetti,12278
GamaNaiton,4972
priscilamercon,8266
lula13133,8134
lolalow6,4989
capitulo03_,8816
Ecico2,8470
nave1964,19232
uraniaflores,3858
EKrominski,62166
JaqueGiarletti,13656
alinadurso,75982
adenilsonarj,6070
_Filizola,2884
Rosilene_Crf,1980
Bariequikegard,6356
dudadellorusso,18696
UBARectorado,22426
UBAonline,109793
ubasociales,26067
LiviaPetralha,6026
historialiberta,14974
gabrieldread,13003
Ludmilla,6918342
cauemoura,2630559
scelso,822
cristianoufmg,5475
thiessita,24596
manoelpedro,1556
rbcgaia,26647
DimitraVulcana,27795
dritasilva,2841
iglesbiteriana,48903
jpcuenca,35113
ipeaonline,142072
jotamarquesrj,17678
Florababylon,25424
bixarte,6241
JaquelineJsus,2161
ErikakHilton,14616
Iexandre,17636
JussaradeLima10,1691
CanaldaResistn1,543
Suxbernardo,16842
LianaCirne,8599
AlessandraNeg17,374
tuira0906,2975
SaboiaRN,5010
MariPortelass,1428
Vivabem_always,7310
ClaudineiRFerr1,1388
2010laurinha,2271
LorranPhelipe,5323
MaidaBraga,3672
TeamYouTube,891837
Ericks4ntos,774
paulouchoa_,7197
GodinhoPatricia,2262
Gerson72340523,20
bsouzaleao,1365
profabiocozza,4694
Cleo135,4027
libardi_lu,1189
robson_carrasco,1922
atfslebron,2721
ibfrancini,1382
lummf1,732
jpibiruba,2150
Ca_pq,7011
Allen_drums,1527
vemlogolucifer,1487
alicecarvalho,11586
laerciocastro,1748
zazaudi,6186
WaimiriAtroari9,3933
DilmaCAL,3458
luisandrefq_,7881
722_Aurelio,3922
rosanemacieel,6424
NiltonPT13,14358
deia_lula,4487
FerSindicalista,8366
Al3xandre3_1969,1919
AlbuquerqueNoah,21569
FREEdaFahlo,11327
NandaKCrvg,1199
OtiliaFontoura,8150
Joao_Almirante,25773
OficialOliverL,8891
DiHernandes2,3482
tiowill_,806
ERegressiva,323
AnderCuba1910,1295
rosanatessuto,1044
CairesJane,10480
natanaelneto,1195
crisbezig,2934
KalleoSandalo,11901
IMedicis,15057
vnssalin,8283
A18Elisabeth,6063
BenignoBBarboa,6013
jacquelinecava8,7194
dizissima,8848
GuimaraesHelcio,6453
adri_netto,5769
brennoblog,5825
krizz_tina,5986
Sirlene1Araujo,10364
andreribs,7918
fabiofazzion,1332
Gabriel6828,4742
Gustagusth,334
flrfabiano,2044
beca_bonne7,25225
Adriana_Accorsi,5561
Trovasatrevidas,1166
AlexandreCals1,1454
FerreiraFumaca,3340
Anitta,11551818
Marylarys,6372
omundo2anaroxo,2557
CanalRonnyTeles,632
JooAntnioMarqu6,3487
ThiagoResiste,5246
LeiaOrganaPT,15937
samuelborellipr,10298
quehorrorlais,2732
marcelaholguin,80518
CancilleriaVE,379249
thatianap,2070
rodrigovizeu,27470
mortadelinhadol,4854
RedeLULA,15786
pontopalavras,10402
SuperTataLopes,7815
Marco_Lucaa,731
MujicaDeFato,4667
z_furtado1,48006
TullipaEvans,4237
TariRodrigues,3682
skyscraprls,6282
anitablian,5346
tatiroque,32394
Danilinho,6057
giz_omartins,2158
dricodelima,21755
