twitter_user,followers
,0
UNESCOBrasil,178525
CanalMyNews,50759
MaraLuquet,165427
mat_alencastro,2421
Yunus_Centre,202472
AlineMidlej,72616
Savagefiction,137196
fakebookeco,1644
FHC,282435
marilizpj,109901
camposmello,172618
GabrielaPrioli,976144
vicentiza,14356
thiamparo,56746
jnascim,55940
NatuzaNery,239499
slpng_giants_pt,380602
RajaoPhd,2470
mlcanineu,2430
earthcharter,3681
alexandres01,10101
oatila,1052618
VillaMarcovilla,698254
Malala,1780075
drauziovarella,399829
atilaroque,3139
ASteiner,54170
veramagalhaes,598003
PriscilaFCruz,24039
ecoa_uol,120442
giovanagirardi,4214
flaviaol,194235
juremawerneck,15651
vanessadamata,521655
ClimaInfoNews,13231
SoniaBridi,267182
SistemaB,21183
nandoandradep,3614
tavasconcellos,84228
GuajajaraSonia,89568
prdavilago,18890
tgranizo,7573
y_kakabadse,1111
agaviriau,306614
manuel_rodb,56606
FuturoLatinoame,1504
CentroOds,18769
FNAmbiental,49218
Roberas,2769
bollemdb,150882
FR_BSB,279517
leandraleal,853082
ArnsFlavio,9569
ContaratoSenado,43835
GretaThunberg,4156480
JoelPinheiro85,101667
ayres_britto,39023
JoeniaWapichana,8776
chico_pinheiro,419455
EmmanuelMacron,5589249
cirogomes,1043009
TI_InterBr,13340
MarcosBotelho,16237
leonardogoncal7,130844
marcogomes,113156
Arthurvneto,112420
TwitterBrasil,2198629
paulacarvalho,31136
shalonSS,57
MulherTamarindo,36933
vera,35023
vitorllucena,418
Jujuca1987,119771
detremura,476916
petriachaves,26810
eduardosurita,1785957
pablo_ortellado,27673
brunomotta,242863
Leoni_a_jato,168783
BernardoMF,158838
QuebrandoOTabu,2413637
drispaca,18457
Rafael_Parente,29306
pedrodoria,111905
embrapa,47334
FabioPorchat,8743749
dudaalcantarasp,169
AleYoussef,64387
fabio_nj,2445
eduardoviola,859
Poder360,82216
MonicaWaldvogel,1140027
gcamarotti,731708
folha,7539927
acreditobr,17546
igarape_org,12618
agora_movimento,10336
IlonaSzaboC,44754
eurenesilva,215776
caze,306741
oficialibab,24007
jungmosung,26991
bobburnquist,165469
demianmaia,510797
LeoJaime,966906
nilmoretto,1646015
belagil,46212
canallivre,15290
juliaduailibi,95690
revistapiaui,1500700
IsabelSRamos,51
betosilva,201473
EduardoJorge,284257
eribertoleao,167488
padreroger,23460
caiofabiovvtv,17067
MauMeirelles,1175134
NPTO,63261
Edgard_Piccoli,60078
galpaogamboa,615
prleviaraujo,15526
mtaglia,2918
susanasleal,319
paulaeliany2013,34
AndreiaSadi,792326
GiovanniMockus,1026
DeBalie,22985
Kennisland,4428
CH_Events,6952
_escolhas,3081
GloboNews,4402002
Medium,2285684
brazil_conf,1377
mobclima,102
amazonianativa,1219
Comitemineracao,489
InstitutoCatitu,474
andrevallias,6092
Ibasenet,9729
PEC215Nao,436
joaoderly,11793
miroteixeira,1629
Tonavirada,160
BuzzFeedBrasil,410665
tafaltandoagua,143
policiafederal,1931803
DemocracyOS,7215
PartidodelaRed,16967
santisiri,67576
CGuinebretiere,203
FaithInWater,2207
elpais_brasil,716478
andreferretti,783
carlosrittl,3829
unicefbrasil,612659
RnfrstAlliance,201930
PIB_Mirim,594
PindoramaFilmes,2008
InfoAmazonia,8048
ASCOA,25366
el_pais,7698732
catarse,20936
cti_indigenismo,4638
depjuliodelgado,4860
ecodebate,34285
BemVerde,161
ThinkOlga,106112
aguaemsp,258
CicloVivo,23132
janppiotrowski,4773
rafaelsamtos,659
stephaniejrg,828
MarkRuffalo,6756574
ApelidadoXis,21870
ANEC_BR,743
MarinadeVerdade,357
portal_a12,25629
PaullWessley,4615
arnaldo_antunes,264029
ze_gu,1293
fenasucro,396
portaldaband,583572
RdGaucha,536622
Famurs,7623
geovanapsb,147
HMZiller,274
lissander,878
edrenekivitz,98668
marcelocserafim,3535
RodrigoBaleia,946
asa_brasil,2788
cineclubesocio,780
MarceloNLeite,5740
giselledellamea,3528
fcdemocratico,842
escolaebjc,119
leostamillo,9234
AdamS,36384
portalcnm,7099
PainelFlorestal,4442
GovernoAbertoDF,3524
UOL,1688029
Conteudo_Livre,7250
BetoAlbuquerque,30848
ElianaCalmon,4757
huffpostbrasil,107873
deolhonocodigo,1855
rede_pr,350
rafapoco,795
eumaior,1391
limavazfabio,124
cristilobo,1598893
Equipe_40,1049
UniversiaBrasil,29039
cdes_brasil,13822
jorgeviana,66329
lourdesgnavarro,78396
Pontifex_pt,4904561
ggreenwald,1516581
flip_se,35011
sergiotimerman,1561
Felipe_Storch,831
brenda_brito,2592
Brasil_Indigena,2940
JoyceMatiasDF,745
smithkaku,1702
FGVces,22452
afrabalazina,5754
CarbonoBrasil,14526
EXAME_ambiente,30205
brasil_IBAMA,122461
folha_ambiente,15923
AgenciaAmazonia,3039
InstitutoIPE,14465
G1Natureza,114927
MIT,1100044
raquelrolnik,22873
henyobarretto,1443
ReutersBrasil,353678
OGloboPolitica,449578
camaradeputados,949651
ECantanhede,698647
drvandanashiva,75071
TerrasIndigenas,2090
acschindler,181
DMSC_SP,2649
maurozanatta,1319
AmbientalFrente,2980
nature_org,967765
RedeGTA,741
funaibrasil,3344
mobilidadeurb,4536
Terra,3041654
jornaldaenergia,8978
abraji,50784
defavelas,23164
PesquisaFapesp,89839
TransgenicosNao,803
proindio,15889
ebcnarede,75489
ComitePopularRJ,1960
HBSbrasil,1941
UNEP,1037381
antonioccosta_,34105
StephenKanitz,56206
bbcbrasil,2642016
AliancaEvgelica,2211
ariovaldo,48099
carlinhosveiga,4457
MaioresDe60,1632
guilhermevrc,14054
IARSE,15788
fronteirasweb,7914
Floragil2222,232570
SimplicioAraujo,5025
PlaneteAmazone,4333
PaulaLavigne,160351
rede_df,311
jonathanwatts,20370
llucasffarias,3960
ESemrede,228
freibetto,52387
DELITAS,16973
CamaraNoticias,171601
andrelmachado,57372
acremrede,163
MinasemRede,196
acessopublico,2626
NabilBondukiSP,6278
RicardoYoungS,810
Horadoplaneta,21642
Techo,286322
RFI_Br,14085
GiorgioJackson,1206831
pepoglatz,4464
zabamoreau,89
sampinotti,718
dudurombauer,1487
REDE_18,23393
PedroIvoBatista,1290
mayfloresta,191
Pedropco,750
JeffersonDMoura,2493
_VIVAIdea,3111
MPF_PGR,681187
paulinachamorro,1631
alessandromolon,299957
goldmanprize,63957
AlanMansur,32425
sleitaor,654
Meu_Rio,4783
pluraleemsite,5880
Valniceap,51902
ReginaCase,1353864
folha_poder,458479
lupontesmolina,4236
iara_vicente,317
eciavatta,21308
nemoid321,10600
caetanoveloso,930510
bioneers,25473
levita_serginho,386
xinguvivo,11582
GuillermoPrein,4445
elizianegama,16622
FUNDACIONIPADE,3545
brasil_ccun,2975
aron_belinky,542
soracy,24153
RobertaMiranda1,112334
randolfeap,180956
marlonreis,17384
mariana_godoy,461938
miltonjung,231489
narayamoga,855
MateusOctavio,235
luizaerundina,203690
InstitutoAlana,3708
arochabrasil,1440
infancialivre,3101
KenzoJuca,1142
ProfIsrael,6715
GDimenstein,93300
catracalivre,1858986
fmei7777,76789
RadarRio20,1218
mercado_etico,3681
EAtivismo,1712
HZiller,266
OphirCavalcante,35920
infoambiental,28366
rstvalle,610
politica_dobem,406
_ihu,18332
agenciapublica,207781
PNUDBrasil,97568
cupuladospovos,13994
JeffDSachs,263898
SustDev,215817
